rpm,voltage_v,current_a,power_elec_w,temperature_c,vibration_rms_g,throttle_pct,load_pct,efficiency_pct,residual_rpm,residual_current_a,residual_temperature_c,residual_vibration_g,norm_residual_rpm,norm_residual_current,norm_residual_temp,norm_residual_vibration,composite_residual_score,rolling_mean_rpm,rolling_std_rpm,rolling_mean_temp,rolling_std_temp,rolling_mean_vib,rolling_std_vib,thermal_slope_c_per_s,vibration_slope_g_per_s,electrical_loss_ratio,fault_class,is_anomaly,rul_hours,trajectory_id,step,severity
4789.1,14.58,7.34,107.04,55.93,0.205,42.2,59.92,31.01,2.0,0.59,8.6,-0.002,0.02,0.74,3.44,-0.03,4.24,4858.6,132.49,53.61,1.747,0.215,0.0236,0.305,-0.0027,0.69,ELECTRICAL_DEGRADATION,1,129.47,4,19,0.183
4971.3,14.58,7.97,116.22,57.1,0.186,43.95,59.92,31.95,-16.1,0.7,9.22,-0.032,-0.13,0.88,3.69,-0.4,4.28,4871.6,136.46,54.27,1.681,0.208,0.0213,0.313,-0.0026,0.681,ELECTRICAL_DEGRADATION,1,126.82,4,20,0.197
4698.8,14.53,7.25,105.35,56.91,0.18,41.74,59.92,29.76,-19.2,0.68,8.66,-0.023,-0.16,0.85,3.46,-0.29,4.33,4832.9,124.57,54.82,1.559,0.203,0.0212,0.263,0.0011,0.702,ELECTRICAL_DEGRADATION,1,124.14,4,21,0.212
5032.5,14.59,8.41,122.63,57.55,0.171,44.61,59.92,31.41,-33.9,0.93,8.78,-0.052,-0.28,1.16,3.51,-0.65,4.32,4867.4,127.22,55.36,1.478,0.204,0.0191,0.263,-0.0031,0.686,ELECTRICAL_DEGRADATION,1,121.43,4,22,0.228
4719.2,14.59,7.59,110.7,58.24,0.19,41.68,59.92,28.69,-11.6,0.99,9.16,-0.014,-0.1,1.24,3.66,-0.17,4.46,4853.6,134.84,55.9,1.441,0.201,0.0179,0.25,-0.0014,0.713,ELECTRICAL_DEGRADATION,1,118.71,4,23,0.243
4861.0,14.5,7.84,113.68,58.35,0.258,43.65,59.92,30.54,-64.6,0.74,8.89,0.043,-0.54,0.93,3.56,0.54,4.35,4848.3,133.42,56.36,1.413,0.205,0.0247,0.219,0.0035,0.695,ELECTRICAL_DEGRADATION,1,115.95,4,24,0.259
4734.7,14.49,7.51,108.78,58.59,0.232,42.39,59.92,29.49,-44.2,0.79,8.85,0.026,-0.37,0.99,3.54,0.33,4.39,4814.1,112.56,56.78,1.392,0.209,0.0257,0.242,0.0007,0.705,ELECTRICAL_DEGRADATION,1,113.18,4,25,0.276
4418.5,14.45,6.88,99.42,58.95,0.205,39.25,59.92,26.22,9.2,1.06,9.11,0.019,0.08,1.32,3.64,0.24,4.56,4788.9,160.0,57.25,1.242,0.207,0.0254,0.202,-0.0011,0.738,ELECTRICAL_DEGRADATION,1,110.38,4,26,0.293
4961.0,14.46,8.44,122.07,59.82,0.241,44.22,59.92,30.23,-15.6,1.2,9.63,0.023,-0.13,1.5,3.85,0.29,4.47,4799.2,167.26,57.7,1.274,0.209,0.0269,0.236,0.0012,0.698,ELECTRICAL_DEGRADATION,1,107.56,4,27,0.31
4743.8,14.41,7.65,110.27,59.89,0.189,43.04,59.92,29.26,-82.0,0.81,9.45,-0.02,-0.68,1.01,3.78,-0.25,4.47,4793.0,168.05,58.13,1.209,0.206,0.0273,0.22,-0.0009,0.707,ELECTRICAL_DEGRADATION,1,104.72,4,28,0.327
4871.1,14.42,8.32,119.89,60.48,0.238,43.72,59.92,29.14,-35.0,1.27,9.77,0.024,-0.29,1.59,3.91,0.3,4.55,4801.2,169.65,58.59,1.149,0.209,0.029,0.188,0.0029,0.709,ELECTRICAL_DEGRADATION,1,101.86,4,29,0.345
4563.6,14.37,7.32,105.21,60.57,0.169,41.82,59.92,27.3,-111.0,0.86,9.72,-0.032,-0.93,1.08,3.89,-0.4,4.61,4760.4,172.83,58.94,1.171,0.207,0.0307,0.203,-0.0006,0.727,ELECTRICAL_DEGRADATION,1,98.98,4,30,0.363
4630.0,14.33,7.61,109.14,61.29,0.116,42.19,59.92,27.48,-73.1,1.08,10.3,-0.086,-0.61,1.35,4.12,-1.07,4.69,4753.5,176.48,59.37,1.151,0.201,0.0408,0.208,-0.0031,0.725,ELECTRICAL_DEGRADATION,1,96.08,4,31,0.381
4700.3,14.33,8.1,116.11,62.0,0.208,43.1,59.92,27.03,-105.2,1.31,10.83,0.0,-0.88,1.64,4.33,0.0,4.78,4720.3,150.14,59.82,1.218,0.205,0.0395,0.209,0.001,0.73,ELECTRICAL_DEGRADATION,1,93.16,4,32,0.399
4623.2,14.25,7.6,108.3,61.85,0.167,42.23,59.92,27.58,-57.9,1.12,10.57,-0.034,-0.48,1.4,4.23,-0.43,4.67,4710.7,152.95,60.18,1.232,0.202,0.041,0.194,-0.0051,0.724,ELECTRICAL_DEGRADATION,1,90.23,4,33,0.418
4568.0,14.32,7.88,112.85,62.53,0.23,41.8,59.92,25.53,-88.0,1.46,11.16,0.03,-0.73,1.82,4.46,0.38,4.89,4681.4,149.38,60.6,1.25,0.2,0.0379,0.219,-0.0001,0.745,ELECTRICAL_DEGRADATION,1,87.27,4,34,0.437
4408.6,14.23,7.39,105.17,62.73,0.203,40.77,59.92,24.62,-102.8,1.33,11.34,0.011,-0.86,1.66,4.54,0.14,4.93,4648.8,168.55,61.01,1.201,0.197,0.0364,0.21,-0.0001,0.754,ELECTRICAL_DEGRADATION,1,84.3,4,35,0.457
4698.6,14.23,8.28,117.88,63.65,0.237,43.27,59.92,26.59,-92.1,1.53,12.11,0.03,-0.77,1.91,4.84,0.38,4.95,4676.8,150.23,61.48,1.222,0.2,0.0383,0.213,-0.0002,0.734,ELECTRICAL_DEGRADATION,1,81.31,4,36,0.477
4706.9,14.14,8.32,117.63,63.78,0.222,43.99,59.92,26.79,-133.1,1.44,12.09,0.012,-1.11,1.8,4.84,0.15,4.95,4651.4,118.06,61.88,1.26,0.198,0.0367,0.216,0.0018,0.732,ELECTRICAL_DEGRADATION,1,78.31,4,37,0.497
4337.1,14.23,7.15,101.71,63.9,0.18,40.09,59.92,24.24,-98.3,1.27,12.24,-0.008,-0.82,1.59,4.9,-0.1,5.01,4610.7,145.98,62.28,1.201,0.197,0.037,0.19,-0.0032,0.758,ELECTRICAL_DEGRADATION,1,75.28,4,38,0.517
4417.4,14.19,7.57,107.36,64.38,0.207,40.97,59.92,24.27,-103.4,1.48,12.72,0.015,-0.86,1.85,5.09,0.19,5.1,4565.4,127.32,62.67,1.187,0.194,0.0347,0.212,0.0021,0.757,ELECTRICAL_DEGRADATION,1,72.25,4,39,0.537
4727.9,14.15,8.66,122.5,65.45,0.24,44.16,59.92,26.07,-134.4,1.72,13.63,0.029,-1.12,2.15,5.45,0.36,5.19,4581.8,136.31,63.16,1.227,0.201,0.0361,0.231,0.0069,0.739,ELECTRICAL_DEGRADATION,1,69.19,4,40,0.558
4402.7,14.04,7.75,108.89,65.68,0.137,41.52,59.92,23.69,-130.5,1.63,13.86,-0.056,-1.09,2.04,5.54,-0.7,5.29,4559.1,145.05,63.6,1.265,0.203,0.0314,0.204,-0.0039,0.763,ELECTRICAL_DEGRADATION,1,66.13,4,41,0.579
4522.2,14.15,8.08,114.24,66.03,0.192,42.48,59.92,24.47,-153.5,1.62,14.15,-0.009,-1.28,2.02,5.66,-0.11,5.3,4541.3,137.35,64.0,1.333,0.202,0.0315,0.232,0.0014,0.755,ELECTRICAL_DEGRADATION,1,63.04,4,42,0.601
4445.4,14.08,7.87,110.82,66.58,0.163,42.03,59.92,23.96,-157.2,1.59,14.68,-0.034,-1.31,1.99,5.87,-0.43,5.38,4523.5,137.1,64.47,1.326,0.201,0.0319,0.225,-0.0037,0.76,ELECTRICAL_DEGRADATION,1,59.94,4,43,0.622
4419.5,14.06,7.83,110.07,66.98,0.151,41.64,59.92,23.7,-133.5,1.67,15.08,-0.043,-1.11,2.09,6.03,-0.54,5.43,4508.6,139.49,64.92,1.346,0.193,0.0335,0.236,-0.0029,0.763,ELECTRICAL_DEGRADATION,1,56.83,4,44,0.644
4681.4,14.01,8.54,119.69,67.55,0.176,44.5,59.92,25.91,-169.8,1.63,15.52,-0.035,-1.42,2.04,6.21,-0.44,5.41,4535.9,143.87,65.4,1.34,0.19,0.0337,0.217,-0.0034,0.741,ELECTRICAL_DEGRADATION,1,53.7,4,45,0.666
4173.6,14.03,7.26,101.84,67.83,0.156,39.95,59.92,21.58,-183.4,1.56,15.89,-0.027,-1.53,1.95,6.36,-0.34,5.61,4483.4,168.59,65.82,1.381,0.182,0.0312,0.225,-0.0037,0.784,ELECTRICAL_DEGRADATION,1,50.56,4,46,0.688
4488.0,13.97,8.17,114.14,68.4,0.211,43.1,59.92,23.94,-195.7,1.69,16.4,0.01,-1.63,2.11,6.56,0.12,5.61,4461.5,151.49,66.28,1.396,0.181,0.03,0.25,0.0017,0.761,ELECTRICAL_DEGRADATION,1,47.41,4,47,0.711
4280.6,13.89,7.8,108.33,68.89,0.199,41.21,59.92,21.88,-169.9,1.88,16.94,0.011,-1.42,2.35,6.78,0.14,5.76,4455.9,156.98,66.78,1.347,0.183,0.0304,0.251,-0.0004,0.781,ELECTRICAL_DEGRADATION,1,44.24,4,48,0.734
4168.5,13.91,7.53,104.68,68.8,0.171,40.22,59.92,20.91,-180.4,1.85,16.94,-0.012,-1.5,2.31,6.78,-0.15,5.79,4431.0,179.26,67.22,1.206,0.18,0.0295,0.186,-0.0038,0.791,ELECTRICAL_DEGRADATION,1,41.06,4,49,0.757
4464.2,13.88,8.5,117.99,70.0,0.194,43.29,59.92,22.79,-209.7,2.04,18.09,-0.007,-1.75,2.55,7.24,-0.09,5.92,4404.6,150.77,67.67,1.307,0.175,0.0225,0.24,0.0032,0.772,ELECTRICAL_DEGRADATION,1,37.86,4,50,0.78
4540.1,13.78,8.7,119.9,70.38,0.151,44.25,59.92,23.59,-203.7,2.06,18.38,-0.053,-1.7,2.57,7.35,-0.66,5.94,4418.3,156.14,68.14,1.35,0.176,0.0204,0.242,-0.0023,0.764,ELECTRICAL_DEGRADATION,1,34.66,4,51,0.804
4506.3,13.81,8.85,122.2,71.29,0.205,44.0,59.92,22.63,-220.8,2.26,19.22,0.001,-1.84,2.82,7.69,0.01,6.12,4416.8,155.15,68.67,1.445,0.178,0.0218,0.262,0.0023,0.774,ELECTRICAL_DEGRADATION,1,31.44,4,52,0.827
4334.0,13.83,8.11,112.16,71.96,0.168,42.73,59.92,21.94,-262.1,1.84,19.89,-0.028,-2.18,2.3,7.96,-0.35,6.19,4405.6,156.69,69.21,1.563,0.178,0.0215,0.277,0.0009,0.781,ELECTRICAL_DEGRADATION,1,28.2,4,53,0.851
4240.5,13.74,8.03,110.36,71.76,0.142,41.61,59.92,20.88,-204.6,2.12,19.74,-0.046,-1.71,2.65,7.9,-0.58,6.2,4387.7,164.13,69.69,1.54,0.177,0.0227,0.234,-0.0019,0.791,ELECTRICAL_DEGRADATION,1,24.96,4,54,0.876
3999.0,13.74,7.42,101.91,72.21,0.148,39.42,59.92,18.97,-209.9,2.06,20.34,-0.028,-1.75,2.57,8.14,-0.35,6.32,4319.5,169.61,70.15,1.528,0.174,0.0244,0.243,-0.0004,0.81,ELECTRICAL_DEGRADATION,1,21.7,4,55,0.9
4207.0,13.65,7.93,108.16,72.62,0.177,41.73,59.92,20.81,-221.6,2.06,20.8,-0.01,-1.85,2.57,8.32,-0.13,6.34,4322.8,167.01,70.63,1.475,0.177,0.0236,0.234,-0.0019,0.792,ELECTRICAL_DEGRADATION,1,18.44,4,56,0.925
4260.5,13.68,8.55,116.97,73.48,0.146,42.34,59.92,19.98,-243.4,2.5,21.68,-0.045,-2.03,3.13,8.67,-0.56,6.58,4300.1,158.22,71.14,1.494,0.17,0.0221,0.255,-0.0029,0.8,ELECTRICAL_DEGRADATION,1,15.16,4,57,0.95
4303.5,13.68,8.31,113.68,73.7,0.187,42.67,59.92,21.19,-235.9,2.18,21.89,-0.006,-1.97,2.73,8.76,-0.08,6.5,4302.4,158.09,71.62,1.466,0.169,0.0208,0.272,0.0009,0.788,ELECTRICAL_DEGRADATION,1,11.86,4,58,0.975
4397.2,13.62,9.03,123.01,75.34,0.203,44.15,59.92,20.89,-280.3,2.56,23.47,0.002,-2.34,3.2,9.39,0.03,6.83,4325.2,153.55,72.27,1.52,0.172,0.0232,0.297,0.0005,0.791,ELECTRICAL_DEGRADATION,1,8.56,4,59,1.0
9137.1,14.83,21.57,319.84,38.19,0.529,77.57,54.67,69.1,53.9,-0.11,-13.7,0.003,0.45,-0.14,-5.48,0.04,3.09,9137.1,0.0,38.19,0.0,0.529,0.0,0.0,0.0,0.309,SENSOR_DRIFT,0,199.02,5,0,0.0
8609.3,14.81,19.33,286.19,44.57,0.446,73.09,54.67,64.6,64.8,0.07,14.79,-0.032,0.54,0.09,5.92,-0.4,3.45,8873.2,263.9,41.38,3.19,0.488,0.0415,0.0,0.0,0.354,SENSOR_DRIFT,0,197.6,5,1,0.002
8973.3,14.78,21.25,314.01,50.32,0.452,76.54,54.67,66.66,41.7,0.26,14.37,-0.06,0.35,0.33,5.75,-0.75,3.32,8906.6,220.58,44.36,4.954,0.476,0.0378,3.033,-0.0193,0.333,SENSOR_DRIFT,0,195.76,5,2,0.006
9006.4,14.78,21.44,316.9,55.93,0.484,76.92,54.67,66.79,30.2,0.25,14.45,-0.032,0.25,0.31,5.78,-0.4,3.31,8931.5,195.86,47.25,6.596,0.478,0.0329,2.957,-0.0075,0.332,SENSOR_DRIFT,0,193.72,5,3,0.011
9075.1,14.76,21.57,318.38,60.14,0.589,77.62,54.67,68.01,29.1,0.06,13.66,0.066,0.24,0.07,5.46,0.82,3.15,8960.2,184.35,49.83,7.835,0.5,0.0534,2.744,0.0075,0.32,SENSOR_DRIFT,0,191.54,5,4,0.018
8734.6,14.81,20.02,296.5,63.56,0.507,74.16,54.67,65.11,64.4,0.21,13.13,0.018,0.54,0.26,5.25,0.23,3.15,8922.6,188.13,52.12,8.794,0.501,0.0488,2.537,-0.0022,0.349,SENSOR_DRIFT,0,189.24,5,5,0.025
8679.7,14.81,19.77,292.69,66.65,0.491,73.76,54.67,64.72,56.5,0.16,12.77,0.006,0.47,0.2,5.11,0.08,3.1,8887.9,193.81,54.19,9.599,0.5,0.0453,2.372,-0.0032,0.353,SENSOR_DRIFT,0,186.85,5,6,0.032
8835.6,14.83,20.72,307.3,69.04,0.511,74.85,54.67,65.03,72.5,0.49,11.92,0.014,0.6,0.61,4.77,0.18,2.97,8881.4,182.12,56.05,10.234,0.501,0.0425,2.204,-0.0013,0.35,SENSOR_DRIFT,0,184.38,5,7,0.041
9110.6,14.81,21.93,324.89,71.81,0.554,77.37,54.67,67.43,63.2,0.41,11.46,0.031,0.53,0.51,4.58,0.39,2.79,8906.9,186.2,57.8,10.846,0.507,0.0434,2.101,0.0016,0.326,SENSOR_DRIFT,0,181.83,5,8,0.05
9331.8,14.79,22.71,335.97,73.95,0.582,79.09,54.67,70.07,94.9,0.31,10.5,0.042,0.79,0.39,4.2,0.52,2.54,8949.4,217.84,59.42,11.372,0.515,0.0469,1.987,0.0029,0.299,SENSOR_DRIFT,0,179.22,5,9,0.06
9116.6,14.78,21.83,322.77,75.8,0.513,77.33,54.67,68.01,92.3,0.42,9.88,-0.008,0.77,0.52,3.95,-0.1,2.52,8947.3,216.16,63.18,9.848,0.513,0.0467,1.735,0.0037,0.32,SENSOR_DRIFT,0,176.55,5,10,0.07
9181.7,14.82,22.12,327.96,77.35,0.533,77.55,54.67,68.38,107.0,0.48,9.17,0.008,0.89,0.6,3.67,0.1,2.4,9004.5,193.7,66.45,8.467,0.522,0.0412,1.502,0.0045,0.316,SENSOR_DRIFT,0,173.83,5,11,0.081
9051.2,14.77,21.66,319.85,78.54,0.545,76.76,54.67,67.16,99.9,0.58,8.5,0.031,0.83,0.73,3.4,0.39,2.37,9012.3,193.85,69.28,7.232,0.531,0.0344,1.256,0.0034,0.328,SENSOR_DRIFT,0,171.06,5,12,0.092
8983.1,14.8,21.36,316.06,79.9,0.488,75.73,54.67,66.45,134.4,0.75,8.33,-0.017,1.12,0.94,3.33,-0.21,2.41,9010.0,194.05,71.67,6.327,0.531,0.0338,1.098,-0.0056,0.336,SENSOR_DRIFT,0,168.24,5,13,0.103
8914.4,14.81,20.83,308.55,80.27,0.472,75.14,54.67,66.52,129.1,0.5,7.4,-0.027,1.08,0.62,2.96,-0.34,2.26,8993.9,194.64,73.69,5.483,0.52,0.032,0.928,-0.0019,0.335,SENSOR_DRIFT,0,165.37,5,14,0.116
8782.8,14.78,20.42,301.81,80.92,0.471,73.98,54.67,65.03,151.4,0.78,7.06,-0.015,1.26,0.98,2.82,-0.19,2.34,8998.8,188.67,75.42,4.693,0.516,0.0351,0.793,-0.0011,0.35,SENSOR_DRIFT,0,162.47,5,15,0.128
9445.7,14.84,23.25,345.05,81.92,0.606,79.32,54.67,70.76,150.3,0.57,6.45,0.06,1.25,0.71,2.58,0.75,1.98,9075.4,198.81,76.95,4.027,0.528,0.043,0.716,0.0053,0.292,SENSOR_DRIFT,0,159.53,5,16,0.141
9152.7,14.77,22.01,325.07,82.5,0.543,77.24,54.67,68.33,145.1,0.68,5.94,0.024,1.21,0.85,2.38,0.3,2.01,9107.1,182.67,78.3,3.351,0.531,0.0428,0.594,-0.0006,0.317,SENSOR_DRIFT,1,156.55,5,17,0.155
9403.2,14.79,23.3,344.64,83.67,0.577,79.08,54.67,69.89,167.5,0.9,5.89,0.037,1.4,1.13,2.36,0.46,1.99,9136.3,203.18,79.48,2.916,0.533,0.0446,0.54,-0.0003,0.301,SENSOR_DRIFT,1,153.53,5,18,0.169
9224.9,14.88,22.46,334.15,84.42,0.499,77.15,54.67,68.06,160.5,0.86,5.75,-0.025,1.34,1.07,2.3,-0.31,2.05,9125.6,195.27,80.53,2.605,0.525,0.0424,0.479,-0.0008,0.319,SENSOR_DRIFT,1,150.48,5,19,0.183
9230.9,14.83,22.45,333.0,84.76,0.547,77.28,54.67,68.43,181.8,0.92,5.31,0.024,1.51,1.15,2.12,0.3,2.01,9137.1,197.74,81.42,2.353,0.528,0.0427,0.412,0.0008,0.316,SENSOR_DRIFT,1,147.4,5,20,0.197
9327.6,14.82,22.64,335.41,85.3,0.588,78.19,54.67,70.1,177.7,0.65,5.06,0.056,1.48,0.81,2.02,0.7,1.88,9151.6,205.71,82.22,2.179,0.534,0.0463,0.376,0.0024,0.299,SENSOR_DRIFT,1,144.29,5,21,0.212
9353.3,14.84,22.86,339.17,85.18,0.557,78.14,54.67,69.89,196.9,0.84,4.23,0.024,1.64,1.05,1.69,0.3,1.83,9181.9,210.86,82.88,1.956,0.535,0.0468,0.293,0.0038,0.301,SENSOR_DRIFT,1,141.14,5,22,0.228
9352.2,14.78,22.78,336.58,85.36,0.53,78.63,54.67,70.41,175.5,0.66,3.76,-0.005,1.46,0.83,1.5,-0.06,1.69,9218.8,205.07,83.43,1.803,0.539,0.0442,0.283,0.0032,0.296,SENSOR_DRIFT,1,137.97,5,23,0.243
9116.0,14.82,21.83,323.58,86.05,0.61,75.87,54.67,67.83,238.9,1.09,4.18,0.103,1.99,1.36,1.67,1.29,2.13,9238.9,182.86,84.01,1.614,0.553,0.0426,0.285,0.0077,0.322,SENSOR_DRIFT,1,134.77,5,24,0.259
9178.0,14.84,22.13,328.48,86.02,0.519,76.59,54.67,68.19,204.1,0.95,3.82,0.003,1.7,1.19,1.53,0.04,1.91,9278.5,106.96,84.52,1.341,0.558,0.0352,0.228,-0.0048,0.318,SENSOR_DRIFT,1,131.55,5,25,0.276
9563.1,14.8,23.77,351.78,86.57,0.546,80.05,54.67,72.03,207.2,0.8,3.66,-0.005,1.73,1.0,1.46,-0.06,1.66,9290.2,128.88,84.98,1.152,0.552,0.0314,0.226,0.0002,0.28,SENSOR_DRIFT,1,128.3,5,26,0.293
9341.1,14.79,22.93,339.31,86.9,0.505,78.04,54.67,69.59,227.4,1.1,3.63,-0.024,1.89,1.38,1.45,-0.3,1.89,9309.0,120.92,85.42,0.94,0.548,0.0343,0.179,-0.004,0.304,SENSOR_DRIFT,1,125.02,5,27,0.31
9401.7,14.83,23.14,343.08,86.82,0.539,78.1,54.67,70.18,256.2,1.17,3.2,0.007,2.14,1.46,1.28,0.09,1.88,9308.9,120.81,85.74,0.82,0.544,0.033,0.133,0.0022,0.298,SENSOR_DRIFT,1,121.72,5,28,0.327
9211.5,14.8,21.95,324.8,87.2,0.498,76.58,54.67,69.72,263.0,0.89,3.47,-0.016,2.19,1.11,1.39,-0.2,1.89,9307.5,121.8,86.02,0.797,0.544,0.0331,0.136,-0.0027,0.303,SENSOR_DRIFT,1,118.4,5,29,0.345
9000.9,14.83,21.34,316.41,86.79,0.483,74.47,54.67,66.77,282.5,1.31,3.18,-0.01,2.35,1.64,1.27,-0.13,2.14,9284.5,152.06,86.22,0.705,0.537,0.0377,0.083,-0.0058,0.332,SENSOR_DRIFT,1,115.05,5,30,0.363
8942.1,14.8,20.94,309.87,86.65,0.565,74.09,54.67,66.85,286.0,1.19,3.21,0.077,2.38,1.49,1.28,0.96,2.17,9246.0,182.15,86.35,0.642,0.535,0.0352,0.082,0.0004,0.331,SENSOR_DRIFT,1,111.68,5,31,0.381
8965.1,14.77,21.24,313.7,86.14,0.537,74.38,54.67,66.55,292.7,1.42,2.83,0.048,2.44,1.77,1.13,0.6,2.19,9207.2,195.98,86.45,0.52,0.533,0.0345,0.043,0.0004,0.335,SENSOR_DRIFT,1,108.29,5,32,0.399
9012.9,14.83,21.58,320.14,85.79,0.522,74.34,54.67,66.26,309.8,1.62,2.57,0.03,2.58,2.02,1.03,0.38,2.26,9173.2,197.3,86.49,0.439,0.532,0.0346,-0.014,-0.0049,0.337,SENSOR_DRIFT,1,104.87,5,33,0.418
9436.2,14.8,23.32,345.2,86.7,0.567,77.78,54.67,70.51,346.8,1.61,3.18,0.04,2.89,2.01,1.27,0.5,2.16,9205.3,210.93,86.56,0.416,0.528,0.0264,0.038,0.0027,0.295,SENSOR_DRIFT,1,101.44,5,34,0.437
9379.8,14.81,22.86,338.47,86.63,0.554,77.15,54.67,70.64,358.3,1.46,2.92,0.033,2.99,1.83,1.17,0.41,2.12,9225.4,216.92,86.62,0.376,0.532,0.0273,0.003,0.0004,0.294,SENSOR_DRIFT,1,97.98,5,35,0.457
9171.3,14.82,21.83,323.59,86.49,0.5,75.24,54.67,69.06,368.2,1.42,2.82,-0.001,3.07,1.77,1.13,-0.01,2.19,9186.3,185.5,86.61,0.378,0.527,0.0283,-0.023,-0.0003,0.309,SENSOR_DRIFT,1,94.51,5,36,0.477
9376.6,14.81,23.19,343.49,86.94,0.545,77.23,54.67,69.53,345.7,1.75,3.08,0.024,2.88,2.19,1.23,0.3,2.22,9189.8,188.74,86.62,0.381,0.531,0.0278,0.007,0.0003,0.305,SENSOR_DRIFT,1,91.02,5,37,0.497
9253.2,14.77,22.57,333.41,87.18,0.536,76.07,54.67,68.84,382.7,1.86,3.31,0.029,3.19,2.32,1.32,0.36,2.37,9175.0,176.96,86.65,0.414,0.531,0.0277,-0.001,0.0021,0.312,SENSOR_DRIFT,1,87.5,5,38,0.517
9635.9,14.86,24.33,361.57,87.63,0.556,78.92,54.67,71.69,375.1,1.82,3.36,0.013,3.13,2.27,1.34,0.16,2.22,9217.4,225.01,86.69,0.485,0.536,0.0263,0.047,0.0041,0.283,SENSOR_DRIFT,1,83.97,5,39,0.537
9279.5,14.82,22.54,334.07,87.5,0.546,75.82,54.67,69.3,408.2,1.83,3.27,0.039,3.4,2.29,1.31,0.49,2.4,9245.3,213.42,86.77,0.543,0.543,0.0193,0.047,-0.0011,0.307,SENSOR_DRIFT,1,80.42,5,40,0.558
9588.5,14.8,23.64,349.92,88.4,0.514,78.52,54.67,72.99,412.2,1.52,3.9,-0.021,3.44,1.9,1.56,-0.26,2.22,9309.9,209.67,86.94,0.728,0.538,0.0195,0.126,-0.0013,0.27,SENSOR_DRIFT,1,76.86,5,41,0.579
9150.5,14.79,22.07,326.48,87.61,0.529,74.64,54.67,67.99,435.8,2.06,3.32,0.036,3.63,2.57,1.33,0.45,2.58,9328.4,185.12,87.09,0.699,0.537,0.0197,0.101,0.0004,0.32,SENSOR_DRIFT,1,73.27,5,42,0.601
9279.9,14.79,22.76,336.57,87.61,0.582,75.72,54.67,68.79,438.4,2.18,3.39,0.078,3.65,2.73,1.36,0.97,2.63,9355.1,154.39,87.27,0.561,0.543,0.0231,0.051,0.0008,0.312,SENSOR_DRIFT,1,69.67,5,43,0.622
9314.1,14.79,22.81,337.31,87.85,0.58,75.72,54.67,69.4,472.6,2.23,3.69,0.076,3.94,2.79,1.48,0.95,2.71,9342.9,152.31,87.38,0.551,0.544,0.0247,0.068,0.0014,0.306,SENSOR_DRIFT,1,66.05,5,44,0.644
9198.2,14.82,22.22,329.22,87.61,0.475,74.58,54.67,68.48,472.7,2.16,3.61,-0.019,3.94,2.7,1.44,-0.24,2.68,9324.8,157.57,87.48,0.492,0.536,0.0319,0.062,-0.0014,0.315,SENSOR_DRIFT,1,62.42,5,45,0.666
9088.9,14.76,21.7,320.34,87.32,0.56,73.83,54.67,67.9,486.8,2.19,3.58,0.077,4.06,2.74,1.43,0.96,2.78,9316.5,167.24,87.57,0.373,0.542,0.0301,0.021,0.0008,0.321,SENSOR_DRIFT,1,58.77,5,46,0.688
9425.5,14.72,23.45,345.21,87.48,0.503,76.89,54.67,70.27,489.4,2.44,3.65,-0.01,4.08,3.05,1.46,-0.13,2.73,9321.4,169.62,87.62,0.313,0.538,0.0323,0.017,-0.0018,0.297,SENSOR_DRIFT,1,55.1,5,47,0.711
9691.2,14.75,24.28,358.07,88.37,0.537,78.94,54.67,73.64,496.9,2.08,4.21,0.001,4.14,2.6,1.68,0.01,2.57,9365.2,200.15,87.74,0.348,0.538,0.0323,0.041,-0.0011,0.264,SENSOR_DRIFT,1,51.42,5,48,0.734
9487.5,14.79,23.62,349.28,88.33,0.556,76.76,54.67,70.83,524.0,2.49,4.1,0.041,4.37,3.11,1.64,0.51,2.85,9350.4,184.42,87.81,0.387,0.538,0.0323,0.046,0.0006,0.292,SENSOR_DRIFT,1,47.72,5,49,0.757
9529.3,14.8,24.0,355.06,88.62,0.578,76.81,54.67,70.61,553.8,2.81,4.32,0.062,4.61,3.51,1.73,0.77,3.05,9375.4,189.96,87.92,0.44,0.541,0.0344,0.012,0.0036,0.294,SENSOR_DRIFT,1,44.01,5,50,0.78
9570.9,14.77,24.07,355.35,88.83,0.559,77.43,54.67,71.48,541.1,2.63,4.42,0.038,4.51,3.29,1.77,0.48,2.93,9373.6,188.05,87.96,0.502,0.546,0.0335,0.068,0.0017,0.285,SENSOR_DRIFT,1,40.28,5,51,0.804
9584.9,14.8,24.24,358.81,88.95,0.568,76.83,54.67,71.1,607.1,3.04,4.49,0.051,5.06,3.8,1.8,0.64,3.24,9417.0,181.56,88.1,0.565,0.55,0.0335,0.074,-0.0008,0.289,SENSOR_DRIFT,1,36.54,5,52,0.827
9300.9,14.76,22.38,330.35,88.56,0.51,74.54,54.67,70.56,615.6,2.5,4.33,0.02,5.13,3.12,1.73,0.25,3.1,9419.1,180.07,88.19,0.554,0.543,0.0336,0.039,-0.0039,0.294,SENSOR_DRIFT,1,32.78,5,53,0.851
9701.8,14.81,24.64,364.74,89.42,0.591,77.74,54.67,72.53,611.0,2.92,5.01,0.064,5.09,3.65,2.0,0.8,3.21,9457.9,194.45,88.35,0.649,0.544,0.0349,0.101,0.0064,0.275,SENSOR_DRIFT,1,29.01,5,54,0.876
